state_name,state_name_slug,state_code,state_code_slug,city_name,city_name_slug,district,at_large,vacant,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,date_of_birth,entered_office,term_end,email,phone,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,population,background_url,city_government_url,city_council_url,city_council_calendar_url,city_council_legislation_url,city_council_committees_url,twitter_handle,twitter_url,facebook_url,photo_url
"California","california","CA","ca","San Diego","san-diego","1","false","false","councilor","nonpartisan","Barbara Bry","barbara-bry","Barbara","Barbara","Bry",,,,"female","white-american",,"2016-12-12","2020-12-12","barbarabry@sandiego.gov","619-236-6611","32.8242404","-117.389167","202 C Street, MS#10A San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","BarbaraBrySD","https://twitter.com/BarbaraBrySD","https://www.facebook.com/bbryd12016","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/barbara-bry.jpg"
"California","california","CA","ca","San Diego","san-diego","2","false","false","councilor","nonpartisan","Lorie Zapf","lorie-zapf","Lorie","Lorie","Zapf",,,,"female","hispanic-american",,"2010-12-10","2018-12-10","loriezapf@sandiego.gov","619-236-6622","32.8242404","-117.389167","202 C Street, 10th Floor San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","LorieZapf","https://twitter.com/LorieZapf","https://www.facebook.com/CMLorieZapf","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/lorie-zapf.jpg"
"California","california","CA","ca","San Diego","san-diego","3","false","false","councilor","nonpartisan","Chris Ward","chris-ward","Chris","Chris","Ward",,,,"male","white-american",,"2016-12-12","2020-12-12","christopherward@sandiego.gov","619-236-6633","32.8242404","-117.389167","202 C Street, 10th Floor San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","ChrisWardD3","https://twitter.com/ChrisWardD3","https://www.facebook.com/chrisward.sandiego","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/chris-ward.jpg"
"California","california","CA","ca","San Diego","san-diego","4","false","false","council-president","nonpartisan","Myrtle  Cole","myrtle-cole","Myrtle ","Myrtle ","Cole",,,,"female","african-american",,"2013-06-03","2018-12-10","myrtlecole@sandiego.gov","619-236-6644","32.8242404","-117.389167","202 C Street, MS#10A San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","CD4MyrtleCole","https://twitter.com/CD4MyrtleCole","https://www.facebook.com/councilmembermyrtlecolecd4","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/myrtle-cole.jpg"
"California","california","CA","ca","San Diego","san-diego","5","false","false","president-pro-tem","nonpartisan","Mark Kersey","mark-kersey","Mark","Mark","Kersey",,,,"male","white-american",,"2012-12-03","2020-12-12","markkersey@sandiego.gov","619-236-6655","32.8242404","-117.389167","202 C Street, 10th Floor San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","markkersey","https://twitter.com/markkersey","https://www.facebook.com/CouncilmanMarkKersey","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/mark-kersey.jpg"
"California","california","CA","ca","San Diego","san-diego","6","false","false","councilor","nonpartisan","Chris Cate","chris-cate","Chris","Chris","Cate",,,,"male","pacific-islander",,"2014-12-10","2018-12-10","chriscate@sandiego.gov","619-236-6616","32.8242404","-117.389167","202 C Street, 10th Floor San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","chrisjcate","https://twitter.com/chrisjcate","https://www.facebook.com/ChrisJCate","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/chris-cate.jpg"
"California","california","CA","ca","San Diego","san-diego","7","false","false","councilor","nonpartisan","Scott Sherman","scott-sherman","Scott","Scott","Sherman",,,,"male","white-american",,"2012-12-03","2020-12-12","scottsherman@sandiego.gov","619-236-6677","32.8242404","-117.389167","202 C Street, MS#10A San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","ShermanSD7","https://twitter.com/ShermanSD7","https://www.facebook.com/CouncilmemberScottSherman","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/scott-sherman.jpg"
"California","california","CA","ca","San Diego","san-diego","8","false","false","councilor","nonpartisan","David Alvarez","david-alvarez","David","David","Alvarez",,,,"male","hispanic-american","1980-07-27","2010-12-10","2018-12-10","davidalvarez@sandiego.gov","619-236-6688","32.8242404","-117.389167","202 C Street, 10th Floor San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","AlvarezSD","https://twitter.com/AlvarezSD","https://www.facebook.com/DavidAlvarezSD","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/david-alvarez.jpg"
"California","california","CA","ca","San Diego","san-diego","9","false","false","councilor","nonpartisan","Georgette Gomez","georgette-gomez","Georgette","Georgette","Gomez",,,,"female","hispanic-american",,"2016-12-12","2020-12-12","georgettegomez@sandiego.gov","619-236-6699","32.8242404","-117.389167","202 C Street, 10th Floor San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","Georgette75","https://twitter.com/Georgette75","https://www.facebook.com/gomezd9","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/georgette-gomez.jpg"
"California","california","CA","ca","San Diego","san-diego",,,"false","mayor","republican","Kevin Faulconer","kevin-faulconer","Kevin","Kevin","Faulconer",,,,"male","white-american","1967-01-24","2014-03-03","2018-03-03","kevinfaulconer@sandiego.gov","619-236-6330","32.8242404","-117.389167","202 C Street, 11th Floor San Diego CA 92101","202",,"C",,,,,,"Street","1407000","https://cdn.civil.services/city-council/ca/san-diego/backgrounds/1280x720/city.jpg","https://www.sandiego.gov","https://www.sandiego.gov/city-clerk","https://www.sandiego.gov/city-clerk/councilcomm/closedsess/","https://www.sandiego.gov/city-clerk/elections","https://www.sandiego.gov/city-clerk/councilcomm","Kevin_Faulconer","https://twitter.com/Kevin_Faulconer","https://www.facebook.com/kevinfaulconer","https://cdn.civil.services/city-council/ca/san-diego/headshots/512x512/kevin-faulconer.jpg"
