district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,no,Barbara,Bry,female,white-american,,2016-12-12,2020-12-12,councilor,nonpartisan,barbarabry@sandiego.gov,619-236-6611,"202 C Street, MS#10A San Diego CA 92101",https://twitter.com/BarbaraBrySD,https://www.facebook.com/bbryd12016,http://www.trbimg.com/img-5842115f/turbine/sd-dgarrick-1480724857-snap-photo/750/750x422
2,no,Lorie,Zapf,female,hispanic-american,,2010-12-10,2018-12-10,councilor,nonpartisan,loriezapf@sandiego.gov,619-236-6622,"202 C Street, 10th Floor San Diego CA 92101",https://twitter.com/LorieZapf,https://www.facebook.com/CMLorieZapf,http://csunshinetoday.csun.edu/wp-content/uploads/Lorie-Zapf1.jpg
3,no,Chris,Ward,male,white-american,,2016-12-12,2020-12-12,councilor,nonpartisan,christopherward@sandiego.gov,619-236-6633,"202 C Street, 10th Floor San Diego CA 92101",https://twitter.com/ChrisWardD3,https://www.facebook.com/chrisward.sandiego,http://www.trbimg.com/img-57b979de/turbine/sdut-chris-ward-20160821/750/750x422
4,no,Myrtle ,Cole,female,african-american,,2013-06-03,2018-12-10,council-president,nonpartisan,myrtlecole@sandiego.gov,619-236-6644,"202 C Street, MS#10A San Diego CA 92101",https://twitter.com/CD4MyrtleCole,https://www.facebook.com/councilmembermyrtlecolecd4,http://www.voiceofsandiego.org/wp-content/uploads/514124f378536.image.jpg
5,no,Mark,Kersey,male,white-american,,2012-12-03,2020-12-12,president-pro-tem,nonpartisan,markkersey@sandiego.gov,619-236-6655,"202 C Street, 10th Floor San Diego CA 92101",https://twitter.com/markkersey,https://www.facebook.com/CouncilmanMarkKersey,http://www.trbimg.com/img-57b96a65/turbine/sdut-mark-kersey-20160821/900/900x506
6,no,Chris,Cate,male,pacific-islander,,2014-12-10,2018-12-10,councilor,nonpartisan,chriscate@sandiego.gov,619-236-6616,"202 C Street, 10th Floor San Diego CA 92101",https://twitter.com/chrisjcate,https://www.facebook.com/ChrisJCate,https://kpbs.media.clients.ellingtoncms.com/img/photos/2014/05/26/CANDIDATE-DISTRICT6-CHRIS_CATE_t700.png?f40c0e74b997dbb01ce524758e0d04a31382c8af
7,no,Scott,Sherman,male,white-american,,2012-12-03,2020-12-12,councilor,nonpartisan,scottsherman@sandiego.gov,619-236-6677,"202 C Street, MS#10A San Diego CA 92101",https://twitter.com/ShermanSD7,https://www.facebook.com/CouncilmemberScottSherman,http://ftpcontent.worldnow.com/kfmbam/podcast/audioimport/2016/05/scott-sherman-11.jpg
8,no,David,Alvarez,male,hispanic-american,1980-07-27,2010-12-10,2018-12-10,councilor,nonpartisan,davidalvarez@sandiego.gov,619-236-6688,"202 C Street, 10th Floor San Diego CA 92101",https://twitter.com/AlvarezSD,https://www.facebook.com/DavidAlvarezSD,https://kpbs.media.clients.ellingtoncms.com/img/croppedphotos/2014/02/08/Alvarez2_t800.jpg?90232451fbcadccc64a17de7521d859a8f88077d
9,no,Georgette,Gomez,female,hispanic-american,,2016-12-12,2020-12-12,councilor,nonpartisan,georgettegomez@sandiego.gov,619-236-6699,"202 C Street, 10th Floor San Diego CA 92101",https://twitter.com/Georgette75,https://www.facebook.com/gomezd9,https://d3n8a8pro7vhmx.cloudfront.net/gomezd9/pages/24/attachments/original/1457649538/BallotStmtPhoto.jpg?1457649538
,,Kevin,Faulconer,male,white-american,1967-01-24,2014-03-03,2018-03-03,mayor,republican,kevinfaulconer@sandiego.gov,619-236-6330,"202 C Street, 11th Floor San Diego CA 92101",https://twitter.com/Kevin_Faulconer,https://www.facebook.com/kevinfaulconer,https://pbs.twimg.com/profile_images/553292328987660288/_nUAgK8-.jpeg
,,Bonnie,Dumanis,female,white-american,1951-12-16,2003-01-01,2018-12-31,district-attorney,republican,,619-531-4040,330 W Broadway San Diego CA 92101,https://twitter.com/BonnieDumanis,https://www.facebook.com/DABonnieDumanis,http://www.trbimg.com/img-57ce244e/turbine/sdut-bonnie-dumanis-san-diego-di-20160905-003/900/900x506
